question,avg_score_mean,avg_score_std,latency_mean,latency_std,model,context_type,chunk_size,top_k,embedding_model,question_label
What is the family bonus for wife?,8.0,0.0,1.7310360273333332,0.3066995717837287,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q12
Tax exemption?,8.666666666666666,1.0327955589886444,13.07868417,1.7368879294413317,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q13
Tax exemption?,8.0,0.0,7.574879010333333,1.9883802225529208,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q13
Tax exemption?,10.0,0.0,5.773499488666666,0.47742735263180613,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q13
Health insurance?,7.0,1.5491933384829668,1.182041248,0.16282005199133393,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q14
Health insurance?,10.0,0.0,1.730512380666667,0.45216103183516443,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q14
Health insurance?,10.0,0.0,5.553731441333333,2.3823766238144066,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q14
University contribution to health insurance?,9.333333333333334,1.0327955589886444,1.1712656023333332,0.2290124823453509,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q15
University contribution to health insurance?,10.0,0.0,2.6560717423333333,0.9513762474651922,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q15
University contribution to health insurance?,5.0,0.0,1.47912701,0.44905984517441694,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q15
Academic staff grades?,2.0,0.0,4.277460178,1.3302576771067451,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q16
Academic staff grades?,2.0,0.0,2.521084864666667,1.0125665594315538,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q16
Academic staff grades?,2.0,0.0,8.066597701000001,2.8601093957517656,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q16
Academic staff categories?,10.0,0.0,1.8640080293333334,0.6586988613725607,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q17
Academic staff categories?,10.0,0.0,1.3238118493333333,0.14326505043903376,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q17
Academic staff categories?,10.0,0.0,3.1990517776666665,1.373903585002238,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q17
Administrative staff categories?,7.333333333333333,4.1311822359545785,1.6975611846666665,0.1510411951837135,Mistral-7B-Instruct-v0.3,faiss,750,15,sentence-transformers_all-MiniLM-L6-v2,Q18
Administrative staff categories?,10.0,0.0,9.54942624,1.9390323543145636,Qwen2.5-72B-Instruct,faiss,750,15,sentence-transformers_all-mpnet-base-v2,Q18
Administrative staff categories?,10.0,0.0,1.6520694096666666,0.0841864016539092,Gemma-2-9b-it,faiss,750,10,sentence-transformers_all-MiniLM-L6-v2,Q18
